,0
91,Blowin' a bag on you
92,Do all of that for no reason
93,I'ma pull up MR2
94,Hittin' the block and I'm bleedin'
95,Throwin' that Rollie on you
96,"I like the way you be freezin', yeah"
97,"Pick up the phone, baby"
98,"I'm in the zone, baby"
99,"Pick up the phone, baby"
100,"I'm in the zone, baby"
101,"Ricky Racks, I see you!"
102,Thugger!
103,"YSL for life, bitch"
104,"Yeah fuck you, your momma and everything else"
105,"Yung Shad, you killed this track"
106,Free the GOAT!
107,"That's my best friend, that's my best friend, flexin'"
108,"Big ol' booty bitch missus from Texas, what's next is"
109,"I'm gon' skeet off, lil' nigga come catch me, catch me"
110,"And that's my bestie, my bestie, my best friend, go best friend"
111,Nigga livin' TTG and everything is still on fleek
112,"Bad bitch rollin' wit' me, she gon' smile 'cause she on fleek"
113,"Hundred thousand dollars inside my pants, my shit on fleek"
114,Hey-yeah! Yeah
115,"Take them boys to school, swagonometry"
116,"Bitch I'm bleedin' bad, like a bumble bee"
117,"Hold up! Hold it, hold it, nigga proceed"
118,I'ma eat that booty just like groceries
119,"Eat on that coochie, lay that bitch down like ""let's do it"""
120,"No Tiger, bitch, eat that wood, eat that wood"
121,"Supplier, bitch, I got pistols, no wood"
122,I want them tacos that are Meagan Good
123,Helicopter choppin' with the buzz
124,Stuff them racks inside them if they nudge
125,"Bang that other side, nigga curb"
126,And my reefer louder than a speaker
127,Yeah my niece is hangin' with The Beatles
128,"If you ever find her, better keep her"
129,37 cameras for the sneakers
130,Goin' out like Ox or Beanie Sigel
131,"Send a cop, I can't wait to mistreat 'em"
132,"Forcin' your ho, I can't wait to mislead 'em"
133,"And beat 'em, they ain't my people"
134,"That's my best friend, that's my best friend, flexin'"
135,"Big ol' booty bitch missus from Texas, what's next is"
136,"I'm gon' skeet off, lil' nigga come catch me, catch me"
137,"And that's my bestie, my bestie, my best friend, go best friend"
138,Nigga livin' TTG and everything is still on fleek
139,"Bad bitch rollin' wit' me, she gon' smile 'cause she on fleek"
140,"Hundred thousand dollars inside my pants, my shit on fleek"
141,Hey-yeah! Yeah!
142,Let me tell you how I spent a couple hundreds today
143,"I done cut back on that lean, I'm on that Hen' and D'ussé"
144,"Don't do no talkin', when you see him, you better shoot in his face"
145,I got a hundred bitches that can't wait to replace
146,"Michael Jackson, nigga, Thugger Jackson moon walkin'"
147,The S.L.I.M.E. army tool shoppin'
148,"Me a horny goat, I'm boolin' at the bull stop"
149,No I can't get arrested 'cause I'm talkin' 'bout my necklace
150,"I'ma put that bitch in the buck, I'm a dog, let's get stuck"
151,"My lil' sister Dora, eat them Lucky Charms and give me luck"
152,"Waddup cuz? Here yo cup, call my Bloods, bring my bup"
153,"Your crew suck, don't got bucks, these ain't drugs, nigga"
154,"That's my best friend, that's my best friend, flexin'"
155,"Big ol' booty bitch missus from Texas, what's next is"
156,"I'm gon' skeet off, lil' nigga come catch me, catch me"
157,"And that's my bestie, my bestie, my best friend, go best friend"
158,Nigga livin' TTG and everything is still on fleek
159,"Bad bitch rollin' wit' me, she gon' smile 'cause she on fleek"
160,"Hundred thousand dollars inside my pants, my shit on fleek"
161,Hey-yeah!
162,"Yeah, yeah, yeah"
163,"Oh, oh, woah"
164,"Woah, woah"
165,Oh
166,Oh
167,Me-meet me at The London
168,"If you find time, we can run one"
169,Talk about some things we can't undo
170,"You just send the pin, I can find you"
171,"6'1"", on the money, 9'2"""
172,You just say the word and I'll run through
173,"Two texts, no reply, that's when I knew"
174,"I knew, I knew, yeah, I knew"
175,"Yeah, circumnavigate the globe as the cash grows"
176,Get a nigga whacked like you get the grass mowed
177,"I'm talkin' slick when I'm with the Big Slime, nigga"
178,"Could hit your bitch, you could never hit mine, nigga"
179,"In my DM, they electric slide, nigga"
180,"No catfishin', this is not a fish fry, nigga"
181,Never switch sides on my dog
182,"Catch a contact, hitch a ride, go to Mars"
183,Everybody sing
184,How could you come up out your face
185,And say I ain't the hardest nigga you done ever heard?
186,I left a flock of rappers dead and buried
187,A verse from me is like eleven birds
188,"Just did the math, that's like two thousand dollars every word"
189,"I'm on the verge, I'll beat the charge"
190,I killed some niggas and I walked away from it
191,"Then I observe, just how you curve"
192,Then told the nigga that they gotta wait for it
193,"""I know—I know you in high demand"""
194,I'm ballin' on a pussy nigga like Juwanna Mann
195,I'm drownin' all inside the pussy like I never swam
196,"Ayy, fuck your IG, I put somethin' on your sonogram"
197,"I'm the man, ayy, ayy"
198,Me-meet me at The London
199,"If you find time, we can run one"
200,Talk about some things we can't undo
201,"You just send the pin, I can find you"
202,"6'1"", on the money, 9'2"""
203,You just say the word and I'll run through
204,"Two texts, no reply, that's when I knew"
205,"I knew, I knew, yeah, I knew"
206,"Pimp talk, church talk, I can make a brick walk"
207,"Up north, down south, Bankhead to Rachel Walk"
208,"Hit it with a little water, stretch it like a vocal cord"
209,"STD, I run my ward, fuck a fed and his daughter"
210,I'ma run the compound
211,I supply the cigarettes and bread
212,I got a main and she gon' ride
213,She took a quarter and she fled
214,"I'm in the Lamb', so she gon' ride"
215,I see the pain in shawty's light brown eyes
216,I'm at The London with some big thots
217,"No fries, she eat steaks with the fish sides"
218,"Didn't your mama tell you when something on fire, stop, drop and roll?"
219,I've been on the road like a pair of spinners at Stop-N-Go's
220,I could charge 'em like a Dodge Hemi Demon
221,Got your broad in the garage eatin' semen
222,Every time a nigga go back to the ward
223,Niggas act like they want start
224,And we leave them on the cement
225,Me-meet me at The London
226,"If you find time, we can run one"
227,Talk about some things we can't undo
228,"You just send the pin, I can find you"
229,"6'1"", on the money, 9'2"""
230,You just say the word and I'll run through
231,"Two texts, no reply, that's when I knew"
232,"I knew, I knew, yeah, I knew"
233,"I, crash down, we get money"
234,For the full town
235,"I decided, for the full side"
236,"And they know, I might"
237,"Get down, might"
238,"See the whole town every time, I..."
239,"Yeah, they know what's up"
240,I can see that bullshit from a mile away
241,You can stack my money 'bout a mile away
242,I got three white bitches like it's powder day
243,Mink coat with the rolls like a Shar Pei
244,"And all of my bitches sexy, call them Barbies"
245,"She lookin' back like I'm flexin', baby, no way"
246,"And lately, I been on that D'usse, yee"
247,"Got me a check, I got a check"
248,"Yeah, I done got me a check, I got a check"
249,"Yeah, I done got me a check, I got a check"
250,"Yeah, I done got me a check, oh, got a check"
251,"Money on my mind, I got money on my brain"
252,"Money in my pants, I got money I call change"
253,"20, 50, 100, 500 millions made"
254,"Big hunna Thugga, screamin' free that Gucci Mane"
255,"If I need some racks, I'ma flip me some packs"
256,I talk like I want and she don't say nothin' back
257,"If cops pull up, I put that crack in my crack"
258,Or I put that brack in my brack
259,"Call little shawty, made her fuck on my brodie"
260,"If you don't owe me, bitch, still act like you owe me"
261,"I promise I won't ever quit, bitch, I'm Kobe"
262,"And I whip that white, you can snow me"
263,Stoner Young Thugger
264,"I whip it, that bitch, yeah, she know me, Young Thugger"
265,"Yeah, she shinin' like butter"
266,"The bitch from Chicago, I call her young Cutler"
267,Leave it to Beaver
268,"I pull up in Bentleys with London, they all want to meet him"
269,"Yeah, they all wanna greet him"
270,"They pull down they pants and they all wanna eat him, uh"
271,"No, they won't tease on that dick, they won't read on that dick"
272,"They won't leash on that dick, don't Felicia that dick"
273,"Mamacita that dick, they gon' snitch on that dick"
274,"And she screamin' loud, she can't secret that dick"
275,Mama a beast on that dick
276,"If she bad, I'ma gon' an' Four Season that bitch"
277,"Eat that, lil' bitch, I'ma feast that lil' bitch, mm"
278,"I got me a check, I got a check"
279,"Yeah, I done got me a check, I got a check"
280,"Yeah, I done got me a check, I got a check"
281,"Yeah, I done got me a check, oh, got a check"
282,"Money on my mind, I got money on my brain"
283,"Yeah, I'm like, baby, baby, baby, I need racks"
284,"Money in my pants, I got money I call change"
285,"Baby, baby, baby, baby, baby, I need racks"
286,"20, 50, 100, 500 millions made"
287,"Baby, baby, baby, baby, baby, I want racks"
288,"Big hunna Thugga, screamin' free that Gucci Mane"
289,"Baby, baby, baby, baby, baby, I need racks, hey!"
290,"Bitch, I'm a Migo, I play with kilo"
291,"When I put ice on, I am Sub-Zero"
292,"All of my niggas, they hard, call 'em beetles"
293,Niggas was fake so I kept me a Ruger in Regals
294,Droppin' the top on the Bentley
295,"I'm with the Birdman, yeah, the eagle"
296,"Geeked out my mind, man, I'm tripping out"
297,I don't know none of these people
298,Make my little shawty go get me a four and bring back me a liter
299,"Yes, I got threats, I'm not worried 'bout that"
300,They know they can get whacked and I swear I done
301,"Got me a check, I got a check"
302,"Yeah, I done got me a check, I got a check"
303,"Yeah, I done got me a check, I got a check"
304,"Yeah, I done got me a check, oh, got a check"
305,"Yeah, I'm like, baby, baby, baby, I need racks"
306,"Baby, baby, baby, baby, baby, I need racks"
307,"Baby, baby, baby, baby, baby, I want racks"
308,"Baby, baby, baby, baby, baby, I need racks, hey!"
309,We got London on da Track!
310,We got London on da Track
311,"First, you get that money then you get that power"
312,"If he tune his nose up, boy he on that powder"
313,Now you walk around with 50 in your trousers
314,"Diamonds boolin' on my chest, no fuckin' blouser"
315,"Bitch, I make it rain shower, ya dig that?"
316,They won't know a thing about you if you zip that
317,"Hit 'em with that blocka-blocka, nigga get back"
318,"Feed that, beat that, never crack, dig that"
319,"Before I go without a sack, I swag pack"
320,I spoiled my bitch and now she actin' like a brat
321,"I met Alex, I know Jimmy, he got racks"
322,"Yeah, yeah, bitch I'm bleedin' like a tat"
323,"Roll it, roll it for me on ya back"
324,Just for show my diamonds yellow like a taxi
325,"I'm a cat, I'ma chase all them pussy rats"
326,"Yah , pussy nigga better not look back"
327,"Or, or else I'm killin' 'em, hey, and that's a fact"
328,There's blood all on my Timberlands
329,"She make a nigga say, ""What?"""
330,I swear to God she feelin' 'em
331,"She sucked like eight dicks, I call her octagon"
332,"First, you get that money then you get that power"
333,"If he tune his nose up, boy he on that powder"
334,Now you walk around with 50 in your trousers
335,"Diamonds boolin' on my chest, no fuckin' blouser"
336,"Bitch, I make it rain shower, ya dig that?"
337,They won't know a thing about you if you zip that
338,"Hit 'em with that blocka-blocka, nigga get back"
339,"Feed that, beat that, never crack, dig that"
340,"Bitch, I dig it, I eat ice cream with my chickens"
341,"Bitch, I'm rich just like a Simmons, not Lil Diggy"
342,"If I got legs, bitch you know I'm gonna get it"
343,"She got good head, so she welcome to my Bentley"
344,"Big bid-ness in that big Bentley, Bentley"
345,"Ridin' 'round with that semi, 'cause I know these niggas envy"
346,Is you mad 'bout Instagram or how I kick my pimpin'?
347,"You keep that Ace of Spades, I'm sippin'"
348,"I'm a rocket, rocket, I can't stop it, stop it"
349,"I'm a GTV, boy, bitch I'm poppin', poppin'"
350,"I need coke, need coke like, ""Where the fuck is papi?"""
351,"If you try to run off , you know we popped your noggin"
352,"First, you get that money then you get that power"
353,"If he tune his nose up, boy he on that powder"
354,Now you walk around with 50 in your trousers
355,"Diamonds boolin' on my chest, no fuckin' blouser"
356,"Bitch, I make it rain shower, ya dig that?"
357,They won't know a thing about you if you zip that
358,"Hit 'em with that blocka-blocka, nigga get back"
359,"Feed that, beat that, never crack, dig that"
360,Yeah
361,I'm so through with that
362,I'm so through with that
363,"Hundred bands, hundred bands"
364,"Dropped on the head of any nigga want it, man"
365,"Pop me a Xanny, I'm fast"
366,"I'm so fast, I'm so faster than Sonic, man"
367,"True the man, true the man, true to my nigga"
368,True Religion Buddha man
369,My money stack tall as Ludacris' afro
370,And I swear I'ma shoot with that
371,"I just hit for nine birds, what I'ma do with that?"
372,"Pull up on the curb, then you hop out and be through with that"
373,I'm so fresh like dish detergent
374,"If you not fresh, you so through with that"
375,"If you are a nerd, everything here, you not cool with that"
376,"Yes, you not cool"
377,"No, you not bool"
378,"I don't give no damn, I'm not calling you boo"
379,"My bitch, she a jewel"
380,"You can't prove a point, boy, you know you so doomed"
381,You know you so doomed
382,"I swear I'm so lost with no clue, don't know what to do"
383,"Over loud, over loud"
384,I over loud on these niggas
385,Ain't know how to milk these cows
386,"She made that dick grow, now it's big like a tower"
387,"Yow, front pockets filled up with bands, no Bible"
388,"Hundred bands, hundred bands"
389,"Dropped on the head of any nigga want it, man"
390,"Pop me a Xanny, I'm fast"
391,"I'm so fast, I'm so faster than Sonic, man"
392,"True the man, true the man, true to my nigga"
393,True Religion Buddha man
394,My money stack tall as Ludacris' afro
395,And I swear I'ma shoot with that
396,"I just hit for nine birds, what I'ma do with that?"
397,"Pull up on the curb, then you hop out and be through with that"
398,I'm so fresh like dish detergent
399,"If you not fresh, you so through with that"
400,"If you are a nerd, everything here, you not cool with that"
401,"Pull up, hop out the block"
402,"They tuck in they tail, I go, ""Who the clan?"""
403,"We dressed in all-black, I'm always on the road just like a Uber man"
404,We wrappin' and sendin' them packs
405,"Soon as they land, we movin' 'em"
406,"Blame it on the OGs, they influenced me"
407,"Ain't gonna count money, nigga"
408,"I ain't just met money, nigga"
409,"I put lipstick on the 'Rari, she say that's delicious"
410,Who that is in that Crown Vic? He look suspicious
411,"I just jugged a hundred pounds, I made a—"
412,"Hundred bands, hundred bands"
413,"Dropped on the head of any nigga want it, man"
414,"Pop me a Xanny, I'm fast"
415,"I'm so fast, I'm so faster than Sonic, man"
416,"True the man, true the man, true to my nigga"
417,True Religion Buddha man
418,My money stack tall as Ludacris' afro
419,And I swear I'ma shoot with that
420,"I just hit for nine birds, what I'ma do with that?"
421,"Pull up on the curb, then you hop out and be through with that"
422,I'm so fresh like dish detergent
423,"If you not fresh, you so through with that"
424,"If you are a nerd, everything here, you not cool with that"
425,"Yeah, you not cool with that"
426,"No, you not cool with that"
427,"No, you not cool with that"
428,Yeah
429,"Anything she want she can get, oh, give her"
430,"Oh, anything she want she can get"
431,Wheezy outta here
432,"She want Chanel, go get it"
433,"She want Chanel, go get it"
434,"She want this Fendi, go get it"
435,"She want a Birkin, go get it"
436,"She want this Gucci, she can get it"
437,"She want this Louis, go get it"
438,"Loubs with the spikes, she get it"
439,"Everything I got, she gettin' it, yeah"
440,"Bentley sedan, she get it"
441,"Hop out the Benz, she gettin' it"
442,"Hop out the Lamb, she gettin' it"
443,"The Porsche Cayenne, she gettin' it"
444,"Hop out the coupe, she get it"
445,"Ashanti the shoes, she get it"
446,I put my kids on her titty
447,Anything she want she can get it
448,"Anything you see, you can get it"
449,Here go the keys to the Bentley
450,When I fuck her I got good intentions
451,I just can't get my palms to stop itchin'
452,Water on me like I live with the fishes
453,I done ordered every color in tennis
454,Got the diamonds put in by my dentist
455,I'ma shine when I'm skinnin' and grinnin'
456,"Ice my watch, I'm not wastin' my time"
457,Gunna drippin' with Uzi and Slime
458,Connect with my bitch like a WiFi
459,Slidin' in the DM like a cha-cha
460,"I got Ms, I can take care of the southside"
461,I've been buildin' these billionaire ties
462,Got the Yves Saint Laurent heels in your size
463,Get the penthouse and fill it with vibes
464,Got Marc Jacobs to cover my eyes
465,"She need help, I'ma send her a dime"
466,I can't pour nothin' less than two lines
467,Luxury all the back seats recline
468,She want me to put that dick in her spine
469,Take her shoppin' and keep her from cryin'
470,Give you stones you one of a kind
471,Got Chanel with the Cs on both sides
472,"She want Chanel, go get it"
473,"She want Chanel, go get it"
474,"She want this Fendi, go get it"
475,"She want a Birkin, go get it"
476,"She want this Gucci, she can get it"
477,"She want this Louis, go get it"
478,"Loubs with the spikes, she get it"
479,"Everything I got, she gettin' it, yeah"
480,"Bentley sedan, she get it"
481,"Hop out the Benz, she gettin' it"
482,"Hop out the Lamb, she gettin' it"
483,"The Porsche Cayenne, she gettin' it"
484,"Hop out the coupe, she get it"
485,"Ashanti the shoes, she get it"
486,I put my kids on her titty
487,Anything she want she can get it
488,"She want Chanel, she can get it"
489,Louis V bag and Dior her titty
490,They locked the door when we walk in Fendi
491,"Save the hundreds, them dubs, we spendin'"
492,"Real dope boy, ain't chargin' no card"
493,"New G-Wagon, she already got"
494,"Real grown woman, she ain't post her body"
495,"Check price tags, you want it, you get it"
496,"You a big Thugger fan, you scared to admit it"
497,"Gettin' sixty for a show, I'm handlin' business"
498,"L.A. for a month, get away from the city"
499,"Sippin' this syrup, I'ma need a new kidney"
500,Just tell me where it's at and I'ma go in and get it
501,"'Ever I say, she on it"
502,"New Range Rover, she want it"
503,"We don't do loans, she own it"
504,Runnin' out of space for the bags in her closet
505,"Runnin' through checks every day, no fraud shit"
506,Rose gold Presidential Rollie look polished
507,"Bad lil' bitch, good brain, go to college"
508,"You ain't really gotta pay for nothin', I got it"
509,"Big bankroll, I ain't totin' no wallet"
510,"I don't withdraw, nickname deposit"
511,"T-Pain, Plies, I call her my shawty, my shawty"
512,"She want Chanel, go get it"
513,"She want Chanel, go get it"
514,"She want this Fendi, go get it"
515,"She want a Birkin, go get it"
516,"She want this Gucci, she can get it"
517,"She want this Louis, go get it"
518,"Loubs with the spikes, she get it"
519,"Everything I got, she gettin' it, yeah"
520,"Bentley sedan, she get it"
521,"Hop out the Benz, she gettin' it"
522,"Hop out the Lamb, she gettin' it"
523,"The Porsche Cayenne, she gettin' it"
524,"Hop out the coupe, she get it"
525,"Ashanti the shoes, she get it"
526,I put my kids on her titty
527,Anything she want she can get it
528,Thugger Thugger
529,Thugger
530,"Stoner Life, YSL"
531,"Okay, cool, okay, bool, I love her"
532,"I'ma save her, yes, like Danny Glover"
533,"I'ma call my papi for her, fuck the mother"
534,"I pass them a molly, now they kiss each-other"
535,Every time I fuck I gotta hit me least like two bitches
536,"Boy, that dope been whipped, you need like new wrists"
537,"Foreign car outside, that bitch got two digits"
538,Money stand like eight feet just like two midgets
539,Who the fuck told you that Young Thugger Thugger don't fuck up the beat?
540,I got six cars and I also got rentals and all of 'em tinted
541,"No, I'm not Nipsey, not from L.A., but I got keys to the city"
542,"I fuck it, I suck it, I beat it down, then she beat me to the ceilin'"
543,"Stoner my lifestyle, I'm livin' too wild"
544,"I came to make you proud, that money keep her around"
545,"In love with her head, I can't turn it down"
546,Can't wait for my time to come back around
547,She see that you don't got Lil Haiti's style
548,Plus I just seen Snoop on Girls Gone Wild
549,I just bought a Bentley and a bitch came with it
550,Young rich nigga hittin' million dollar licks
551,Balling in New York like a motherfucking Knick
552,"You better have them racks, you ever want to hear me spit"
553,And everywhere I go I gotta pass like the staff
554,I'm goin' off top like a motherfuckin' lay up
555,"357, six shots like Al"
556,I left ten bands in a motherfuckin' cab
557,"Okay, cool, okay, bool, I love her"
558,"I'ma save her, yes, like Danny Glover"
559,"I'ma call my papi for her, fuck the mother"
560,"I pass them a molly, now they kiss each-other"
561,Every time I fuck I gotta hit me least like two bitches
562,"Boy, that dope been whipped, you need like new wrists"
563,"Foreign car outside, that bitch got two digits"
564,Money stand like eight feet just like two midgets
565,I knew I was gonna run my money up and everybody didn't
566,"All these niggas pussy niggas, tellin' on they partner"
567,Hope the pussy nigga get a bigger sentence
568,"Pussy nigga play, I'm coming back with the K"
569,And I'ma shoot that motherfucker 'til he livid
570,Bitches wanna see a nigga thumb through it fast
571,I'ma name myself Young Thug Attendant
572,"Hundred bands at a time I fronted you bags, but you"
573,"I don't like using profanity, but the Young Thugger will gut you"
574,All of my cups are muddy I fuck my bitches' buddies
575,"I just want nut like Buddy, all of my bitches buddies"
576,Panamera with the tinted roof
577,"All the niggas dogs goin', ""Roof"""
578,"Top notch shawty, nigga ring came with karats"
579,"Young nigga rich, jewelry colder than the attic"
580,"If she ain't a virgin, then that bitch is only average"
581,"I can't even hear ya, baby, get rid of the static"
582,"I can't learn a bitch, but I learned mathematics"
583,I just ball her down whenever she call my pattern
584,"Okay, cool, okay, bool, I love her"
585,"I'ma save her, yes, like Danny Glover"
586,"I'ma call my papi for her, fuck the mother"
587,"I pass them a molly, now they kiss each-other"
588,Every time I fuck I gotta hit me least like two bitches
589,"Boy, that dope been whipped, you need like new wrists"
590,"Foreign car outside, that bitch got two digits"
591,Money stand like eight feet just like two midgets
592,"When you were worrying about pissing on your fuckin' self, I was a stoner"
593,Bang gang
594,Dun Deal on the tra-tra-tra-track
595,Way back in 90-fucking'-4 when I was six or seven...
596,"Ayy, ayy, this that stoner music, nigga"
597,Stoner!
598,Stoner
599,"I'm a stoner, I'm a stoner, I'm a stoner"
600,"I'm a stoner, I'm a stoner, I'm a stoner"
601,"I'm a stoner, I'm a stoner, I'm a stoner"
602,I'm a motherfuckin' stoner
603,I just put a 40 on my wrist just like a boss
604,"I just put 10,000 on my bitch just like a boss"
605,I just drank with YSL just like a f****** boss
606,"Just like a f****** boss, just like a boss, boss"
607,"Thugger Thugger, you"
608,"I want Michael Jackson land, ohh"
609,"Aww, I'ma cash out"
610,I'm high as hell ain't got no satellites on me
611,I tell that bitch I feel like Fabo
612,"I feel like Fabo, I feel like Fabo"
613,"I feel like Fabo, I feel like Fabo"
614,"I feel like Fabo, I feel just like Fabo"
615,"I'm back at it , Juug man voice"
616,Bankhead
617,"Hear my song way from Y-T-C-R-O-B-S-M-M, now we YSL venom, sis"
618,"Slime Thugger wit' it , Slime DK wit it"
619,"Slime Wicced wit' it , Slime Mondo wit it"
620,"Slime Slugger with it , Slime Bubba wit it"
621,Slime Check wit' it
622,Count hundreds and 50's off everyone's city
623,"I'm a stoner, I'm a stoner, I'm a stoner"
624,"I'm a stoner, I'm a stoner, I'm a stoner"
625,"I'm a stoner, I'm a stoner, I'm a stoner"
626,I'm a motherfuckin' stoner
627,I just put a 40 on my wrist just like a boss
628,"I just put 10,000 on my bitch just like a boss"
629,I just drank with YSL just like a f****** boss
630,"Just like a f****** boss, just like a boss, boss"
631,"Run that money up, like ya 'bout to start trial"
632,"When you beat the case, turn into a stoner child"
633,"We don't stand in line, foreign shoes hurt your feet"
634,"Everybody stoned, weed, lean, molly, E"
635,Every time I walk inside the club I see everybody looking
636,"You know I'm a stoner, I love drugs and I can't never be tooken"
637,"And you can suck my banana, but I won't eat your pudding"
638,"So come a lil' closer, my bitch won't know ya"
639,"Andalé andalé andalé, andalé andalé andalé"
640,How the fuck a nigga think he gone survive on a YSL runway
641,My glasses are metro no blood off your chest
642,I control ya ho like Net-and-flix
643,Your bitch is my dinner she wet like a fish
644,"I took off her three legs, T-Rex"
645,"I'm a stoner, I'm a stoner, I'm a stoner"
646,"I'm a stoner, I'm a stoner, I'm a stoner"
647,"I'm a stoner, I'm a stoner, I'm a stoner"
648,I'm a motherfuckin' stoner
649,I just put a 40 on my wrist just like a boss
650,"I just put 10,000 on my bitch just like a boss"
651,I just drank with YSL just like a f- boss
652,"Just like a f- boss, just like a boss, boss"
653,"I feel like Fabo, I feel like Fabo"
654,"I feel like Fabo, I feel like Fabo"
655,"I feel like Fabo, I feel like Fabo"
656,I feel just like
657,Wheezy outta here
658,"Hot, hot, hot, hot"
659,"Hot, hot, hot, hot"
660,"Hot, hot, hot, hot"
661,"Hot, hot, hot, hot"
662,"Everything litty, I love when it's hot"
663,"Turned up the city, I broke off the notch"
664,"Got some more millis, I keep me a knot"
665,I created history and made me a lot
666,He tried to diss me and ended on Fox
667,We call them chopsticks 'cause they gonna chop
668,Took her out of Follies 'cause her pussy pop
669,"I run it like Nike, we got it on lock"
670,Cartier eye
671,I'm the bossman in a suit but no tie
672,"I can't be sober, I gotta stay high"
673,Pour me some syrup in a Canada Dry
674,Ridin' in the spaceship like Bonnie and Clyde
675,"Don't worry, baby, I keep me some fire"
676,"Shenenehs and Birkins, she cannot decide"
677,The latest Mercedes her go-to surprise
678,"Don't sleep on miss lady, her pussy a prize"
679,Dick in her back while I'm grippin' her sides
680,"Bigger Maybach, this ain't regular size"
681,"We really fly, we like pelican glide"
682,"Bitch, you ain't slick, I can tell the disguise"
683,"Upgraded my wrist, put baguettes in that Sky"
684,"She sing, I might sign her and change her whole life"
685,I told her to gargle and work on her highs
686,"Everything litty, I love when it's hot"
687,"Turned up the city, I broke off the notch"
688,"Got some more millis, I keep me a knot"
689,I created history and made me a lot
690,He tried to diss me and ended on Fox
691,We call them chopsticks 'cause they gonna chop
692,Took her out of Follies 'cause her pussy pop
693,"I run it like Nike, we got it on lock"
694,"Cash, money, checks, cash"
695,"Addy, Birkin, brand new extendos"
696,I just wanna fuck the bitch by myself
697,I just passed her to the dawg like my Sprite
698,"I took the Bentley coupe back, then I hopped in a Cayenne"
699,"I put the bitch in the front of the Bentley, in front of the driver"
700,"Ayy, man, this synthetic weed, you can't smoke in the Rolls Royce, woah, woah"
701,"I'm still double cupped up, I'm drinkin', I shoot off your tires, huh"
702,I'm in the coupe by myself
703,I had to kick a door when I was 5
704,Keep the awards on the shelf
705,Whole sixteen round in the fire
706,"I'm sick and tired of these young niggas act like they firin', they tellin' these lies"
707,Actin' like they the ones created this and they get all the drip from my guys
708,"Yeah, Cartier eyes"
709,"Cartier coat, Cartiers the watch"
710,"Cartier love, Cartier the thot"
711,"Cartier specs, buffalo on the side"
712,"Princess cut diamonds, they Cartier, yeah"
713,Cartier bag for the Cartier thot
714,Sky Wrangler coupe with two hundred the dash
715,"Cartier jeans, ain't no way I can sag"
716,Ain't no way I'ma ever gon' go out bad
717,"I can't go out, no way I'ma go out"
718,I just grip on her ass and I show out
719,I sit like a champ and I wait on a hold-out
720,I just whip up a new Chanel Patek
721,I whip with the wrist and I don't break the door out
